epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1223.36,0.85849,0.61463,1.16115,0.9176,0.88613,0.95108,0.73355,0.78041,0.58144,1.05259,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1260.94,0.81799,0.58203,1.14392,0.93872,0.85641,0.94067,0.73546,0.77187,0.57757,1.04042,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1298.84,0.8491,0.61431,1.1558,0.93834,0.89249,0.95251,0.74835,0.75475,0.49271,1.02652,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1336.58,0.84693,0.58994,1.15256,0.94349,0.88226,0.95363,0.73966,0.7701,0.65528,1.04822,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1374.78,0.82696,0.56613,1.13003,0.92385,0.90166,0.95982,0.74507,0.76087,0.5914,1.03593,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1413.22,0.81981,0.56094,1.13432,0.94272,0.89643,0.95575,0.74834,0.74866,0.5577,1.02203,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1451.51,0.80087,0.57429,1.12893,0.93104,0.88776,0.94829,0.73896,0.76593,0.49275,1.03582,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1488.51,0.81413,0.57057,1.13416,0.93439,0.88239,0.93768,0.72846,0.78762,0.47957,1.04347,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,1525.76,0.79677,0.55085,1.13142,0.94604,0.88135,0.94904,0.74337,0.76719,0.58572,1.03822,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,1563.48,0.81292,0.56676,1.13335,0.93505,0.89403,0.95147,0.75079,0.74629,0.58634,1.02452,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,1600.9,0.80621,0.55853,1.13137,0.94708,0.8944,0.95452,0.75169,0.74612,0.72383,1.0219,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,1638.25,0.78971,0.52711,1.11658,0.93284,0.89322,0.95481,0.75303,0.7445,0.50985,1.01873,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,1675.81,0.80845,0.55133,1.13142,0.94525,0.88672,0.95589,0.75478,0.74878,0.62636,1.01888,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,1713.39,0.79455,0.55008,1.12529,0.94323,0.88921,0.95043,0.74204,0.75591,0.72486,1.02423,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,1750.71,0.78802,0.53012,1.12353,0.95066,0.89899,0.96054,0.76068,0.7337,0.56247,1.01382,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,1787.98,0.79089,0.53417,1.1246,0.89359,0.88688,0.94254,0.74305,0.73523,0.58839,1.01556,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,1825.31,0.78482,0.5321,1.11433,0.93346,0.90646,0.95305,0.74193,0.75508,0.69653,1.0277,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,1863.41,0.80088,0.53309,1.12257,0.9252,0.89579,0.95234,0.75065,0.73666,0.53722,1.00985,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,1901.34,0.77417,0.52446,1.11496,0.94161,0.8955,0.95305,0.75104,0.73585,0.61197,1.01163,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,1938.74,0.78051,0.52009,1.11313,0.93904,0.90674,0.95976,0.75997,0.72582,0.55462,1.0037,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,1976.53,0.76515,0.52131,1.10327,0.93842,0.88337,0.95107,0.74913,0.75665,0.46876,1.03015,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,2013.99,0.78042,0.52332,1.10703,0.93495,0.90769,0.95953,0.7543,0.74899,0.45524,1.02218,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2051.18,0.78054,0.51043,1.10393,0.92045,0.89579,0.95206,0.7534,0.73218,0.55869,1.01178,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2087.99,0.76784,0.51316,1.1113,0.92827,0.9127,0.95679,0.75771,0.73685,0.51268,1.013,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
