               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030631,            0.015916,           0.0038966,             0.92901,             0.90481,             0.94911,             0.66605,            0.022252,            0.010721,           0.0019941,            0.006535,            0.006535,            0.006535
                  37,            0.030381,            0.016027,           0.0036326,             0.91821,             0.91302,             0.94785,              0.6623,            0.022048,            0.010704,           0.0020132,            0.006436,            0.006436,            0.006436
                  38,            0.031057,            0.016205,            0.003782,             0.91653,             0.90726,             0.94524,              0.6605,            0.022408,            0.010935,           0.0018907,            0.006337,            0.006337,            0.006337
                  39,             0.03062,            0.016328,           0.0039146,             0.92179,             0.90408,             0.94561,             0.67816,            0.022007,            0.010666,           0.0018981,            0.006238,            0.006238,            0.006238
                  40,            0.030472,            0.015909,           0.0038958,             0.91619,              0.9176,             0.95041,             0.66737,            0.022501,             0.01039,           0.0019122,            0.006139,            0.006139,            0.006139
                  41,            0.030337,            0.015986,           0.0037722,             0.91638,             0.90128,             0.94403,              0.6707,            0.022188,            0.010898,           0.0019933,             0.00604,             0.00604,             0.00604
                  42,            0.030135,            0.016069,           0.0040031,             0.92797,              0.9125,             0.94818,             0.67254,            0.021983,            0.010746,           0.0019446,            0.005941,            0.005941,            0.005941
                  43,            0.030225,            0.015632,           0.0036609,             0.93886,             0.91338,             0.94467,             0.66845,            0.021934,            0.010781,           0.0018148,            0.005842,            0.005842,            0.005842
                  44,             0.03012,            0.015706,           0.0036492,             0.92412,             0.91102,             0.94877,             0.65827,            0.022345,            0.010453,            0.001964,            0.005743,            0.005743,            0.005743
                  45,            0.030127,            0.015822,           0.0036853,             0.92735,             0.90737,             0.94987,             0.69473,            0.021393,            0.010622,           0.0019257,            0.005644,            0.005644,            0.005644
                  46,            0.029515,            0.015851,           0.0034987,              0.9203,             0.91029,             0.94657,             0.66948,            0.022116,            0.010607,            0.001801,            0.005545,            0.005545,            0.005545
                  47,            0.029749,            0.015741,           0.0035657,             0.92883,             0.90731,             0.94821,             0.69112,            0.021597,            0.010589,           0.0019193,            0.005446,            0.005446,            0.005446
                  48,            0.029334,            0.015463,           0.0034183,             0.93386,             0.92102,             0.95046,             0.67977,            0.021624,            0.010511,           0.0017454,            0.005347,            0.005347,            0.005347
                  49,            0.029106,            0.015535,           0.0036135,             0.91959,             0.91775,             0.94672,             0.68922,            0.021053,            0.010586,           0.0017775,            0.005248,            0.005248,            0.005248
                  50,            0.029049,            0.015461,           0.0034909,             0.92642,             0.90994,              0.9444,             0.67792,             0.02146,            0.010563,           0.0018576,            0.005149,            0.005149,            0.005149
                  51,            0.029105,            0.015374,           0.0034241,             0.92988,             0.90618,             0.94651,             0.68065,            0.021468,            0.010609,           0.0018942,             0.00505,             0.00505,             0.00505
                  52,            0.029383,            0.015434,           0.0033769,             0.92945,             0.91043,             0.94861,             0.67987,            0.021526,            0.010582,           0.0019017,            0.004951,            0.004951,            0.004951
                  53,            0.029305,            0.015435,           0.0034904,             0.92609,             0.91109,             0.94699,             0.67851,            0.021771,            0.010695,            0.001858,            0.004852,            0.004852,            0.004852
                  54,            0.028941,            0.015021,           0.0033436,             0.92704,              0.9145,             0.94672,             0.68743,            0.021078,            0.010672,           0.0018788,            0.004753,            0.004753,            0.004753
                  55,             0.02878,            0.015456,           0.0033579,             0.91984,             0.92045,             0.94503,             0.69609,            0.020857,            0.010693,           0.0019468,            0.004654,            0.004654,            0.004654
                  56,            0.028643,            0.015023,           0.0032253,             0.92637,             0.91575,             0.94755,             0.68466,            0.021172,            0.010668,             0.00178,            0.004555,            0.004555,            0.004555
                  57,            0.028376,            0.014995,           0.0032782,             0.92335,             0.91612,             0.95123,             0.69444,            0.021084,            0.010602,            0.001902,            0.004456,            0.004456,            0.004456
                  58,            0.028476,            0.014952,           0.0032548,             0.91804,             0.91623,             0.94834,             0.69236,            0.020817,            0.010491,           0.0017638,            0.004357,            0.004357,            0.004357
                  59,            0.028318,            0.015165,           0.0032657,             0.91913,             0.91663,             0.95014,             0.69381,            0.021092,            0.010566,           0.0017414,            0.004258,            0.004258,            0.004258
                  60,            0.028233,            0.014751,           0.0032439,             0.92263,             0.91734,             0.94946,              0.6895,            0.021005,            0.010544,           0.0017162,            0.004159,            0.004159,            0.004159
                  61,            0.028118,            0.014941,            0.003202,             0.91979,             0.90881,             0.94407,             0.68653,            0.020963,            0.010726,           0.0019136,             0.00406,             0.00406,             0.00406
                  62,            0.028148,            0.014959,           0.0032325,             0.92422,             0.91144,             0.94705,             0.68957,            0.020857,            0.010518,           0.0017172,            0.003961,            0.003961,            0.003961
                  63,            0.028124,            0.014976,           0.0031103,             0.92507,             0.91679,             0.94529,             0.69607,             0.02074,            0.010552,           0.0016674,            0.003862,            0.003862,            0.003862
                  64,            0.027667,            0.014848,            0.003293,             0.92651,             0.92107,             0.94925,             0.69893,            0.020584,            0.010373,           0.0018333,            0.003763,            0.003763,            0.003763
                  65,             0.02787,            0.014879,           0.0031449,             0.92521,             0.92238,             0.94791,             0.69666,            0.020752,            0.010407,           0.0018695,            0.003664,            0.003664,            0.003664
                  66,            0.027661,            0.014671,           0.0030852,             0.92609,             0.91435,             0.95133,             0.69512,              0.0208,            0.010463,           0.0018585,            0.003565,            0.003565,            0.003565
                  67,            0.027478,            0.014619,           0.0030369,              0.9237,             0.91371,             0.95078,             0.69268,            0.020866,            0.010574,           0.0018897,            0.003466,            0.003466,            0.003466
                  68,            0.027549,            0.014864,           0.0031124,             0.92127,             0.92043,             0.94743,             0.69701,            0.020582,            0.010511,           0.0017171,            0.003367,            0.003367,            0.003367
                  69,            0.027929,            0.014679,           0.0032344,             0.93199,             0.91808,             0.94845,             0.69898,            0.020677,            0.010481,           0.0016541,            0.003268,            0.003268,            0.003268
                  70,            0.027248,            0.014837,            0.003009,             0.92627,             0.92664,             0.94885,             0.69884,            0.020644,            0.010549,            0.001745,            0.003169,            0.003169,            0.003169
                  71,            0.027044,            0.014338,           0.0029112,             0.93106,             0.92112,             0.94842,             0.69839,             0.02059,            0.010524,           0.0017455,             0.00307,             0.00307,             0.00307
                  72,            0.027346,             0.01458,           0.0029186,             0.92697,             0.91651,             0.94824,             0.70398,            0.020491,             0.01048,           0.0018408,            0.002971,            0.002971,            0.002971
                  73,             0.02702,            0.014237,           0.0029966,             0.93349,             0.91776,             0.95031,             0.70179,            0.020478,            0.010379,           0.0017729,            0.002872,            0.002872,            0.002872
                  74,            0.027192,            0.014434,            0.003056,              0.9262,             0.92264,             0.94995,             0.70337,            0.020378,            0.010356,           0.0017656,            0.002773,            0.002773,            0.002773
                  75,            0.026987,             0.01462,           0.0030028,             0.92899,             0.91668,             0.94727,              0.7049,            0.020256,            0.010447,           0.0017347,            0.002674,            0.002674,            0.002674
                  76,            0.026962,            0.014504,           0.0030612,             0.93156,             0.92289,             0.95136,             0.70501,             0.02028,            0.010367,           0.0017007,            0.002575,            0.002575,            0.002575
                  77,            0.026548,            0.014379,           0.0029245,             0.93249,             0.92303,             0.95275,             0.70562,            0.020281,            0.010283,           0.0016955,            0.002476,            0.002476,            0.002476
                  78,               0.027,            0.014424,           0.0029815,             0.93384,             0.92001,             0.95159,             0.70478,            0.020201,            0.010345,           0.0016896,            0.002377,            0.002377,            0.002377
                  79,            0.026381,            0.014389,           0.0028062,              0.9336,               0.917,             0.95029,             0.70795,            0.020161,            0.010326,           0.0016439,            0.002278,            0.002278,            0.002278
                  80,            0.026421,            0.014318,           0.0026597,             0.92962,             0.92109,                0.95,             0.70767,             0.02024,            0.010338,           0.0016932,            0.002179,            0.002179,            0.002179
