               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027694,            0.017733,           0.0034793,             0.92082,             0.89816,             0.94888,             0.71406,            0.021408,            0.010366,           0.0020531,            0.008845,            0.008845,            0.008845
                  37,            0.027757,            0.018028,           0.0035376,              0.9128,             0.89793,               0.944,             0.70072,            0.021913,            0.010693,           0.0022933,            0.008812,            0.008812,            0.008812
                  38,            0.027143,            0.018072,           0.0031517,             0.91229,             0.89144,             0.94911,             0.71041,            0.021733,            0.010454,           0.0022376,            0.008779,            0.008779,            0.008779
                  39,            0.027742,            0.017923,           0.0034416,             0.93118,             0.89548,             0.94731,             0.71174,            0.021475,            0.010363,           0.0023058,            0.008746,            0.008746,            0.008746
                  40,            0.027194,            0.018087,           0.0034945,             0.93109,             0.90541,              0.9536,             0.72589,            0.020711,            0.010389,            0.002234,            0.008713,            0.008713,            0.008713
                  41,            0.027284,             0.01775,           0.0033421,             0.90895,             0.91223,             0.95377,             0.71952,            0.020952,            0.010375,            0.002041,             0.00868,             0.00868,             0.00868
                  42,            0.027219,            0.018076,            0.003219,              0.9091,             0.89986,             0.94292,             0.70973,            0.021463,            0.010184,           0.0021813,            0.008647,            0.008647,            0.008647
                  43,            0.027143,            0.017934,           0.0033024,             0.92404,             0.89458,             0.94451,             0.70723,            0.021603,            0.010311,           0.0023123,            0.008614,            0.008614,            0.008614
                  44,            0.027198,            0.018239,           0.0034322,             0.91006,             0.90654,             0.95272,             0.71875,            0.021094,            0.010152,           0.0023596,            0.008581,            0.008581,            0.008581
                  45,            0.026778,            0.017737,           0.0032297,             0.92513,             0.90034,             0.94986,             0.71923,             0.02137,            0.010394,           0.0022999,            0.008548,            0.008548,            0.008548
                  46,            0.026575,            0.017911,           0.0030359,             0.92136,             0.89287,             0.94775,             0.71802,            0.021315,            0.010177,           0.0025094,            0.008515,            0.008515,            0.008515
                  47,            0.026173,            0.017606,           0.0033521,             0.91234,             0.90331,             0.94973,             0.71715,            0.021001,            0.010207,           0.0023823,            0.008482,            0.008482,            0.008482
                  48,             0.02638,             0.01791,           0.0030354,             0.92453,             0.90258,             0.95153,             0.71437,            0.020953,            0.010053,           0.0022988,            0.008449,            0.008449,            0.008449
                  49,            0.026403,            0.017185,           0.0033314,             0.91481,             0.90396,             0.95058,             0.71493,            0.022323,            0.010259,           0.0024223,            0.008416,            0.008416,            0.008416
                  50,            0.026744,            0.017212,           0.0033958,             0.93273,              0.8871,             0.94925,             0.71447,            0.020967,            0.010351,           0.0021755,            0.008383,            0.008383,            0.008383
                  51,            0.026536,            0.017742,           0.0033067,             0.91841,              0.9003,              0.9491,             0.72031,            0.020954,            0.010093,           0.0019408,             0.00835,             0.00835,             0.00835
                  52,            0.026394,            0.017387,           0.0033007,              0.9214,             0.90136,             0.95154,             0.71618,            0.020709,            0.010092,            0.002534,            0.008317,            0.008317,            0.008317
                  53,            0.026445,            0.017192,           0.0030935,             0.93384,             0.90005,             0.95057,             0.70753,            0.021576,            0.010332,           0.0023464,            0.008284,            0.008284,            0.008284
                  54,            0.025974,            0.017125,           0.0030253,             0.93319,             0.89848,             0.95356,             0.72285,            0.021077,           0.0099574,           0.0020973,            0.008251,            0.008251,            0.008251
                  55,            0.026404,            0.017165,           0.0030017,             0.93523,             0.89908,             0.95254,             0.72512,            0.020616,            0.009888,           0.0020669,            0.008218,            0.008218,            0.008218
                  56,            0.025934,            0.017499,           0.0032891,             0.92292,             0.88888,             0.95068,             0.72094,            0.020657,            0.010401,           0.0023693,            0.008185,            0.008185,            0.008185
