epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.1799,0.99718,2.02104,1.29353,0.89008,0.81773,0.8977,0.64848,0.89647,3.98385,1.146,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288
2,88.1872,0.96953,1.22033,1.23384,0.85033,0.78946,0.87014,0.61418,0.95046,3.18978,1.2087,0.0198729,0.00662428,0.0198729,0.00662428,0.0198729,0.00662428,0.0198729,0.00662428
3,124.41,1.03391,1.16979,1.28021,0.74956,0.72159,0.77777,0.50002,1.07344,4.03026,1.33516,0.0297411,0.00991369,0.0297411,0.00991369,0.0297411,0.00991369,0.0297411,0.00991369
4,159.474,1.0709,1.16111,1.31906,0.83072,0.67155,0.77782,0.51597,1.07658,4.35009,1.35222,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,194.365,1.0557,1.05094,1.30315,0.83352,0.77832,0.83796,0.59279,0.97914,1.60347,1.23357,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,228.984,1.04097,0.9771,1.29244,0.86561,0.78168,0.85273,0.59177,0.99328,1.26196,1.26065,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,263.37,1.03268,0.92106,1.26426,0.89303,0.79364,0.8725,0.61431,0.9961,2.0195,1.22939,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,298.452,0.99735,0.8576,1.25711,0.84984,0.83208,0.88873,0.65241,0.91631,1.08238,1.19697,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,333.329,0.99805,0.83606,1.24302,0.84258,0.80195,0.85178,0.60654,0.93852,2.6909,1.20402,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,367.744,0.97685,0.81311,1.2335,0.87591,0.79691,0.88495,0.61525,0.98916,1.06914,1.26326,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,402.276,0.95497,0.79079,1.22989,0.88091,0.80472,0.87999,0.65055,0.86689,1.33978,1.12122,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,436.847,0.94205,0.76749,1.21793,0.89244,0.83896,0.90987,0.67521,0.85707,1.58769,1.1262,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,471.681,0.93092,0.73159,1.2176,0.92133,0.84435,0.92009,0.68017,0.88603,0.67739,1.16307,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,505.834,0.91554,0.71065,1.21271,0.90432,0.84888,0.91493,0.68855,0.85346,0.75257,1.11351,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,540.39,0.91846,0.71043,1.20418,0.92378,0.886,0.94308,0.70769,0.83418,0.87735,1.09916,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,574.632,0.89214,0.6888,1.18219,0.9143,0.89037,0.94564,0.70819,0.84695,0.80938,1.11447,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,609.189,0.88739,0.67697,1.18892,0.92362,0.88186,0.94195,0.71053,0.83592,0.72233,1.10374,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
